"item_id","value_type","time_type","agg_fun","fill1","fill2","cont","last_value","low","high","valid_value"
"fio2","num","single","mean","locb","lin","21","21",,,
"peep","num","single","mean","locb","lin",,,,,
"pao2","num","single","mean","locb","lin",,,,,
"ph","num","single","mean","locb","lin","7.4",,,,
"baseexcess","num","single","mean","locb","lin",,,,,
"aniongap","num","single","mean","locb","lin",,,,,
"temperature","num","single","mean","locb","lin","36.200000000000003",,,,
"nibp_systolic","num","single","mean","locb","lin","115",,,,
"nibp_diastolic","num","single","mean","locb","lin","66",,,,
"respiratoryrate","num","single","mean","locb","lin","18",,,,
"spo2","num","single","mean","locb","lin","100",,,,
"gcs","ord","single","median","locb","locf","15",,,,
"uo","num","single","sum","cont","zero","0","0",0,3000,
"dopamine","bin","interval","any","zero","zero","0","0",,,
"epinephrine","bin","interval","any","zero","zero","0","0",,,
"norepinephrine","bin","interval","any","zero","zero","0","0",,,
"phenylephrine","bin","interval","any","zero","zero","0","0",,,
"vasopressin","bin","interval","any","zero","zero","0","0",,,
"dobutamine","bin","interval","any","zero","zero","0","0",,,
"milrinone","bin","interval","any","zero","zero","0","0",,,
"heparin","bin","interval","any","zero","zero","0","0",,,
"warfarin","bin","interval","any","zero","zero","0","0",,,
"o2","num","single","mean","locb","locf","0","0",,,
"bicarbonate","num","single","mean","locb","lin",,,,,
"totalco2","num","single","mean","locb","lin",,,,,
"hematocrit","num","single","mean","locb","lin",,,,,
"hemoglobin","num","single","mean","locb","lin",,,,,
"chloride","num","single","mean","locb","lin",,,,,
"calcium","num","single","mean","locb","lin","9",,,,
"potassium","num","single","mean","locb","lin","4",,,,
"sodium","num","single","mean","locb","lin","140",,,,
"lactate","num","single","mean","locb","lin","1.3",,,,
"glucose","num","single","mean","locb","lin","85",,,,
"albumin","num","single","mean","locb","lin","4",,,,
"bun","num","single","mean","locb","lin","15",,,,
"creatinine","num","single","mean","locb","lin","0.8",,,,
"wbc","num","single","mean","locb","lin","7",,,,
"bands","num","single","mean","locb","lin",,,,,
"alt","num","single","mean","locb","lin",,,,,
"ast","num","single","mean","locb","lin",,,,,
"alp","num","single","mean","locb","lin",,,,,
