"name","mean","sd","min"
"temperature",36.8210622935108,0.589274642837778,25.6
"nibp_systolic",122.92032111592,21.6818945192975,25
"nibp_diastolic",67.6403593345442,14.0835284851135,2
"respiratoryrate",19.0870976464734,5.19631650413478,0
"spo2",97.0491732836656,3.51776840747297,0
"fio2",18.100219851293,7.14433035277028,0.2
"peep",5.981199245755,0.962960576320641,0
"pao2",113.066288021578,44.1003266122298,16
"ph",7.39009139491941,0.0549423591249849,6.5
"baseexcess",0.0131659795856894,3.52212335080358,-38.1
"aniongap",10.2570780170459,3.78575121693501,0
"gcs",13.9240832699772,2.54160348363653,3
"uo",57.1760871326671,184.978946919507,0
"dopamine",0,1,0
"epinephrine",0,1,0
"norepinephrine",0,1,0
"phenylephrine",0,1,0
"vasopressin",0,1,0
"dobutamine",0,1,0
"milrinone",0,1,0
"heparin",0,1,0
"warfarin",0,1,0
"o2",3.41493974583714,11.5035393575379,0
"bicarbonate",24.7389049784809,4.50970107285601,2
"totalco2",25.991750155129,3.67843042369527,0
"hematocrit",33.0425935322931,6.22108439793169,6
"hemoglobin",10.9302064588548,2.14310778634384,1.3
"chloride",104.618694796056,6.03986492685028,52
"calcium",8.36567138516636,0.724684428067992,0.74
"potassium",4.02321178535057,0.544122651427011,0.8
"sodium",138.542599680138,4.64156996653502,91
"lactate",1.51909027058031,1.25566543529802,0.1
"glucose",137.273526783896,57.2740498244396,25
"albumin",3.37326328525812,0.737099135992804,0.5
"bun",22.4938445148017,18.5312483627741,1
"creatinine",1.39786295474751,1.59629612654432,0.1
"wbc",10.8886489994257,5.83426788070111,0.01
"bands",6.62231260422949,3.8919332433632,0
"alt",66.8344294151007,291.363447946253,2
"ast",90.6682358737737,529.728152594333,3
"alp",96.5360800545419,69.5245712942664,8
"dt",0.0446424019606033,0.036363715151274,0
